,File,AvgTime,Size,Algo,Field,TimePerElem,DataStructure
25,set4.csv,2.34560000080819e-05,100000,Binary Search,data,2.34560000080819e-10,tree
26,set4.csv,1.6542999977294432e-05,100000,Binary Search (target not found),key,1.6542999977294432e-10,array
27,set4.csv,1.532466668171158e-05,100000,Binary Search (target not found),data,1.532466668171158e-10,array
28,set4.csv,0.09713491500000752,100000,Binary Search (target not found),key,9.713491500000753e-07,linked list
29,set4.csv,0.10712454866669911,100000,Binary Search (target not found),data,1.071245486666991e-06,linked list
30,set4.csv,3.209766665198307e-05,100000,Binary Search (target not found),key,3.209766665198307e-10,tree
31,set4.csv,2.5242999981855974e-05,100000,Binary Search (target not found),data,2.524299998185597e-10,tree
32,set1.csv,0.1073934686666765,1000,Insertion Sort,key,0.00010739346866667649,array
33,set1.csv,0.10624740766669068,1000,Insertion Sort,data,0.00010624740766669068,array
34,set1.csv,0.09184886399998504,1000,Insertion Sort,key,9.184886399998505e-05,linked list
35,set1.csv,0.1551219799999899,1000,Insertion Sort,data,0.00015512197999998988,linked list
36,set1.csv,8.226000015080595e-06,1000,Binary Search,key,8.226000015080595e-09,array
37,set1.csv,5.1533333286594525e-06,1000,Binary Search,data,5.153333328659453e-09,array
38,set1.csv,0.0006877100000034867,1000,Binary Search,key,6.877100000034867e-07,linked list
39,set1.csv,0.0005495706666730863,1000,Binary Search,data,5.495706666730863e-07,linked list
40,set1.csv,1.2932333333992574e-05,1000,Binary Search,key,1.2932333333992574e-08,tree
41,set1.csv,6.515333325296524e-06,1000,Binary Search,data,6.515333325296524e-09,tree
42,set1.csv,1.1058333332888045e-05,1000,Binary Search (target not found),key,1.1058333332888045e-08,array
43,set1.csv,1.0194333337191589e-05,1000,Binary Search (target not found),data,1.019433333719159e-08,array
44,set1.csv,0.0005070610000075249,1000,Binary Search (target not found),key,5.070610000075249e-07,linked list
45,set1.csv,0.0005369433333347237,1000,Binary Search (target not found),data,5.369433333347237e-07,linked list
46,set1.csv,1.305133332607511e-05,1000,Binary Search (target not found),key,1.305133332607511e-08,tree
47,set1.csv,2.1676666657792037e-05,1000,Binary Search (target not found),data,2.1676666657792038e-08,tree
48,set2.csv,0.1066688469999993,1000,Insertion Sort,key,1.066688469999993e-06,array
49,set2.csv,0.10747678466664941,1000,Insertion Sort,data,1.0747678466664941e-06,array
50,set2.csv,0.086956351333356,1000,Insertion Sort,key,8.6956351333356e-07,linked list
51,set2.csv,0.11409896033330824,1000,Insertion Sort,data,1.1409896033330824e-06,linked list
52,set2.csv,1.6113666674755223e-05,100000,Binary Search,key,1.6113666674755223e-10,array
53,set2.csv,1.531400001416235e-05,100000,Binary Search,data,1.531400001416235e-10,array
54,set2.csv,0.045403666666667654,100000,Binary Search,key,4.5403666666667654e-07,linked list
55,set2.csv,0.06495028999999401,100000,Binary Search,data,6.495028999999401e-07,linked list
56,set2.csv,3.38316666557148e-05,100000,Binary Search,key,3.3831666655714797e-10,tree
57,set2.csv,2.480866665640254e-05,100000,Binary Search,data,2.480866665640254e-10,tree
58,set2.csv,1.544966668613294e-05,100000,Binary Search (target not found),key,1.544966668613294e-10,array
59,set2.csv,1.5161333332495511e-05,100000,Binary Search (target not found),data,1.5161333332495512e-10,array
60,set2.csv,0.09355455633332592,100000,Binary Search (target not found),key,9.355455633332592e-07,linked list
61,set2.csv,0.1020074506666333,100000,Binary Search (target not found),data,1.0200745066663331e-06,linked list
62,set2.csv,3.9638666635255504e-05,100000,Binary Search (target not found),key,3.96386666352555e-10,tree
63,set2.csv,2.798399998482637e-05,100000,Binary Search (target not found),data,2.798399998482637e-10,tree
64,set5.csv,0.105907031333345,1000,Insertion Sort,key,1.0590703133334501e-06,array
65,set5.csv,0.11251963200000621,1000,Insertion Sort,data,1.125196320000062e-06,array
66,set5.csv,0.08719858866667589,1000,Insertion Sort,key,8.719858866667588e-07,linked list
67,set5.csv,0.0489332289999993,1000,Insertion Sort,data,4.89332289999993e-07,linked list
68,set5.csv,1.4500666641955226e-05,100000,Binary Search,key,1.4500666641955226e-10,array
69,set5.csv,1.56096666993714e-05,100000,Binary Search,data,1.56096666993714e-10,array
70,set5.csv,0.01905679300000429,100000,Binary Search,key,1.905679300000429e-07,linked list
71,set5.csv,0.11032290933330084,100000,Binary Search,data,1.1032290933330085e-06,linked list
72,set5.csv,2.3373333306153654e-05,100000,Binary Search,key,2.3373333306153656e-10,tree
73,set5.csv,3.8679333329127985e-05,100000,Binary Search,data,3.8679333329127986e-10,tree
74,set5.csv,1.531400001416235e-05,100000,Binary Search (target not found),key,1.531400001416235e-10,array
75,set5.csv,1.6544000004614645e-05,100000,Binary Search (target not found),data,1.6544000004614644e-10,array
76,set5.csv,0.10183319899999788,100000,Binary Search (target not found),key,1.0183319899999787e-06,linked list
77,set5.csv,0.10859886100001859,100000,Binary Search (target not found),data,1.085988610000186e-06,linked list
78,set5.csv,2.972333330338491e-05,100000,Binary Search (target not found),key,2.972333330338491e-10,tree
79,set5.csv,3.565033334022397e-05,100000,Binary Search (target not found),data,3.565033334022397e-10,tree
