sequence|TLEN|data-a|data-b|validation
79|13|jowly|puddling|354f252baf5e37e70f961aa68f963fa203ec8567a2974676df2edb05fa9a3038
80|11|geotropy|sop|529d2019b1f79de223e7b20ff7bb1b7078ee7dd99a38cded75711a6df87da533
81|20|Euryclea|apselaphesia|82b25a21e36ed1f68f80db72f3770b47e64ee31a60920d7e287bbb1b90a446f2
82|12|bedlids|chold|4215a67b087afcbd52b67e963c0965750c20ce09f2f47699d295cd9780bec877
83|18|whitehanded|Stictis|1bbecdc1f92415f7d89fe82c6d3af04983d9ab23f7d079da27e43be21c020db4
84|20|ology|unconsideringly|cf41e322309c5ac9eb9c610a81b58f682c48bacb51b6a778e06bca9fea18909e
85|32|prolongableness|phantasmagorially|3e4a34f2424cd624741d0eac8ed432dfb181ecb3057a0f1fee2961a09d34fd3d
86|19|Srikanth|barristress|4fa6ccc6895fd4cc97d132f29e04f5128e22bfc1e82ec10edbdb51067a328cd1
87|21|rhynchocoelic|cloudful|277b56936cb6cc2394dc33324f3a3602fa083db384f8c198a0add8dc53ede1f1
88|13|moki|Publilian|7c864b8b1a95077db1d7151839e814e3b293ebd87984cb8337b429eb3ca0c273
89|26|perioptometry|tetanospasmin|2f8c6835fdeffc4f44d9d6d7695cb9ce271d1f5dfb3dfa903adf7bbfdd73070d
90|13|vanadyl|wangan|0894c0c6ee496b2c8378845c591ab2cb58c6d1e4144637a39c2aa244ebed3279
91|21|occultness|amblygeusia|c58ac6294cab253dcdadf5c51d3f7dd19189f89c1c40c6a8fae6dfb7e2c9a867
92|14|unshot|meterage|68fff9bfbd6994194ec771c423becba97dea669b20b931f973caec4dc934686d
93|20|tetraspermal|prorebel|4663b3bf3a1a1fa27f833465e0adc9fb4320d4b630df1d48a39977e7fcd57d75
94|24|colocentesis|rhizostomous|6291bb71a07201e13023d511a78da4ccec938116b6356a90d4b8fd3680d8d539
95|33|nonmillionaire|palaeornithological|29a60c54e90c6127de4bb8153305a510a31a03403c1a568cb1bf79af114be63f
96|24|tetraphony|arteriorrhagia|a8899dec68f76f9db7fae93955b41e8bdf2c5cf9a7a2fb5828e345395b6fcebc
97|23|unsuppressed|unbutchered|2c30f24f3b1c225dc6e28ef701c9edc0cf83cdcd83a299f8df2176ecd0691aa6
98|17|endothecial|renail|ccd8cbdc92494b914daab7bc26948b44461976d2b25848ba71b3b1fbd8687d13
99|24|meritmonger|elephantiasis|06e980772cc71add94a04f944c14eca5314cb9a375ab599da176cee2cb17e40e
100|21|ropelayer|phylarchical|d2ec4739c34bd1410f27c47a36cb1d92b09b54d674bedbf5c53fe71a4fd85ede
101|18|bescorch|strobotron|d455cd42aebbe3282a6ad410fce75b50e1742dba9965e17a6d9b6ea073f32019
102|18|epicrisis|Swahilian|d0a8dd8c425249670dead31b4e497c77f2abc6d13ad53abdfd3a362f11ae0447
103|19|anatocism|hemangioma|c2cf2a3eb4d5b92f029481176b75ca0cb98656bd5f20788d7712559de519fd24
104|20|isomaltose|unsignable|3a76f5ecf85e3482cca5757884ae2d180d68ebd8d05ccf3717de4fe9bc1c4f70
105|20|nannyberry|manzanillo|6b551891b10ed082495ae4dae027ab185a09662ea7ea7e9beee1bf8b431ce287
106|15|crutch|Nabataean|3e76b5d7400ff03a153ce81f2ace9a7690855074bb799bc090eadba07975017f
107|17|sulphohalite|coram|bae00449dfffcd4bf69fc41b7846f126760de05d404b65e160bcfb34d95bf3df
108|21|thicketed|Koelreuteria|03710efa9e3b62871d5bf292c323a45b52beb79eaae882649231255aab7310bc
109|11|Meum|Alaster|9e7ec079c3447e7f031cd07c30f2ffbe806142eb27d55039f14d9abf15233ffc
110|18|representment|haddo|28275ce7459ba5bdd7a15f7ff6bd6273bb2ed259970f2e4e9e2c36f49d2b0740
111|15|kulmet|colymbion|3cee0e553a167335f2b9ac8c050882c1a08c8152361cd9adb2e798e66f587d0e
112|21|scalewise|echinologist|6592ac03d4aa7a2fed98ebc1c9f9267288e56190141a1d4a1a52666aedb1472f
113|16|sagerose|Kermanji|fcad082307b5c0b9895f681bb02f46371b10ff76c3f675b1e01279ed2506e3fb
114|15|tegua|disruptive|ebb33d5cb95328fc0dc25d9d1699d6eea736b0f591933d5111c870c05c617576
115|16|lecturee|misprize|eff345656aa2b73229c76d2cc7f8a03f5b17531a787a7230481df9a772a48048
116|12|acock|Collery|02d038f5111722d3ef1762f46aa5a680884fa616e6ca1c087602c2966c497e3a
117|15|Merops|throwster|a64bd1bb7d8c8c12d5794dc1d5a3c1b82b28c847e9d42b7ee65679f9295f5f46
118|21|dromond|synchronically|12d5e09a09ba00c0b19ef19ea23f073bb73706aacb87a2ee90bcebebc0513ac0
119|19|epigonal|underthirst|f28cb82c5251c0a7151f666f398093132f2f6500a0fef0d89c9db0360bffed20
120|19|focimeter|leucorrhea|7916dc86c8e0a352fa36b99a1a9b0bc43345c4e193960a2003aa0efeb9ad7724
121|24|glossopharyngeal|errorful|30e0a5e125126e254cacd81421ea02bfd138c1b13498cef83fad6a19cb72ea17
122|19|Oxypolis|shellworker|69a6ee7e779970bfdae9fa650790c9616e6f7eb3c164861a91c0c25031a5e3dd
123|23|sphyraenoid|unenthralled|474ec38cefe200ce9dbc3610cca4e7dda5c7fe33f6a5116a49149252e677f50b
124|21|subinduce|imitationist|4fb8ba2453621ede0d98b3a6a8bc3fcb8867ad8103274586e61e330326edfde2
125|15|spadices|Opimian|2a359b93a27f89f3fcc267a21dd96bede11c5c40e34e05140b46252893475720
126|19|tabletary|affability|7e336206dcc6c6e4396a13fa9ddf21adf5ea9ee27de5381db297e55f8a6df286
127|14|replant|disavow|ec5e0208ee35c568ffd24dfc369431b557af2dd587ca1bbe3aff9a716f0f40d5
128|15|aposaturn|reblot|0b94946eba4bb67552a86c48f2c7fbdc17e1d94f608daa3f0e4400a70135dba4
129|18|humorific|brokeress|fd4c5ca78d75e4f71b0b7ab35608fff5f37f82892386921359040d2e38ec4805
130|17|corodiary|begotten|722a28e58a7aa741106b5cf0f465d8751cc126930a577af465bdf197ac7fd253
131|15|scorifier|snaste|fde859275c794b12133604c5765fbb4e1716a039535e3269399e9151043234e5
132|15|crimple|nimbated|0ab376da0e12f029fbfc939b770753447dd90bb38750b769143fc5e050a7f7fd
133|19|understain|gaugeable|3a9ba2b5c537b5377d175abbf9d3263bd65dc0460aebc24ce8037f461e850bc8
134|17|subdiaconal|dogger|c3ed4e5a88342eddd85fdabf77a63042e259804ea9b688e851fe7b71e26d71a9
135|30|commonsensical|remilitarization|87108ef0d409f8ab7f8bf117243d943fa77fb6a3156a007dd7277be1365e969d
136|11|choleic|yeni|f2677c297662e23068c8aeb1bb31cf12d69ad1d2a94824586997945479a99316
137|18|nonmanual|gunocracy|edc27f45ce6c7122bb0f4dca4c8e4baca75b8d9abf0073be1ab6514c810d763d
138|17|antilift|sarmentum|925c09a1871a67c34970c659592d120530549246b502845dec9c7c982706c9ed
139|17|Diospyraceae|piggy|8dd6dda38d58d15f20541f6cc64312177f466583b792cbbc9381231a0d6c2efc
140|13|hontish|sharer|b4773cf0883f50f9d3ecd15611b52371bc7488fcc821e3f2fe04d19c8b74dfa3
141|19|synch|unregeneration|ea29928dc20c25c5b31cb02a4929f2bfce4fa7147d56cdb416241d857d3235e8
142|18|sciotherically|alma|56302a645cded506d981fb56791558e6459a9005c63ec2f4ca552b9dc01a39be
143|17|beakiron|slipcoach|9e76ae519b22e2310224e22d82d053de81605a5fa670c62fe6f80ff8d2618640
144|25|chondrosteous|acidophilous|6b4f045cd56b56000d0ea3dfb74568457d1ee6fdd829f40e853f1df90d94ec87
145|22|coinfeftment|acetonemia|a492f70bea5b3fee608eb98efe1a1d13b77b75ce4243d109b47e4b2e0e2157d7
146|15|shieling|froglet|84813fca3a31a99baf66f5569a6e980e61d6d73a2421c4974bd52a321ab73424
147|13|profanely|yeso|794dfdccd66d75f942705630a063faef09ec61e352055ea5a12683a1dcef2af9
148|23|malplaced|lugubriousness|d4544bcdf814fe77f89c260fe7b87957b10b8d758be78ef159013e1bba2d3c2d
149|24|countersunk|astrologaster|ed2daa461d7a95e5cca430b93b9cd48776d6f6b5791e153ee0118fcdf6bb7d57
150|16|teaish|premusical|6ffd6a0c490e82fab77942087fbb9250676c27888555e33892a4ed9bc8e9dbad
151|15|mashy|qualimeter|e0883dc939257f70f7c08fa040b63527f2d47f0ee7c6679b33996cac2123baf9
152|15|checkrowed|slath|a58ecc6220051a0a2fa3069b4373e5cc617b9431c63e5b02cc483f68e6bc0b94
153|23|underspring|visitational|d37e05fecabe8aafe25c0ae3e3338bc244360749b189127646a26bb92256b2a5
154|18|spheroidal|urostege|7d6ecd5114dba845ddc9703d5f76f687a4aba9ff581f728ece9768922444769e
155|18|coronagraphic|cumyl|4d5c69f18c319c57f29b873958f633a727463c614a79dcfea287855eef263178
156|20|serotherapeutic|sumph|9999477fdd8e544bd6a8bc3c5212185c22b3e858bc2c7bd80e2c22730c9fe2b2
157|26|Mesembryanthemum|offendable|db7731db9fc7e966be8eead2006fcb7072fc58bedc47f1f0a3e2dcca50efea1b
158|19|semiseverely|ootheca|9c4999c964956692ae189f13ed8c0efdcd3330377c51ffe94b9a4eb714e234e2
159|22|palewise|nonoverlapping|ee39bb01570d7f827b8efca694ac4d10230fe91b2b9923005c7876e9a2a67db1
160|22|looplet|Chaetosomatidae|2f2f12dbaf0448348adeb087c7aa1c4e51aa51470b86e4e4891cf740aa8ee858
161|21|knickered|capituliform|730228598ced3789d26d443f9ebfde82f993b7866cc65d8b4bcde9d4aa5351a9
162|13|prowler|powwow|178b80e4807d28158e99eaf7bbaf945e76d9bd3952e35f9a30e9356ad5094f43
163|16|phenoxide|respade|1da0e535a7b4ec1093191989c52537e8935eb9bb0427de31875c5f933c7e2b7c
164|19|pinprick|preindebted|231f2ed94757426442f37885f72dd6a4009fd8852411057893162a7459fbb245
165|25|physicoastronomical|remove|02b2937ad32a511df73f1d89e5d665806fbbcf436eab8382c0b903ef7af40903
166|30|parthenogenetically|Sabbathaist|37c83742a7deea93c77acc3e9c7ad7ba825dd2ba091813ffcd79d13e0759ff08
167|17|Richard|undercrest|e78451b7d89497c11a52b6e1d8ccdd1da528a11fb790654a0a2aed008c0cd8a1
168|17|ulitis|deathlessly|1f24d135c8d1edc511be6fe19aab19d18594153f1b3bdab4cf4c4757327f1943
169|20|Reichsland|Ebionitism|b929b4d1d03b44b3406e70b0294bb380cd115b57bc3e96ef2063c87a7173fe94
170|17|agentry|hemostatic|368253784fcea54c4623bfb3a477b591b095b7ec04b7d07505cb4112950b297e
171|19|squamosal|amphibolia|0c85757a91ccec32c9107e53d40537cb94b510611e84630445e2069a35d507e7
172|15|harmal|knebelite|55c3f830405b808d2eae2220fea99042af834315fd7fcdaeb3779f11b9f386cf
173|23|respondent|Herzegovinian|2aaf2048c1bd851d703149612574cd169755aa30dcb186dab4f7f47e66d174d8
174|21|berthing|corpulentness|28f6edda2d2a82ca712db7e6ffd98c299e13d6944c196ec576792271a86d6152
175|12|parley|tenant|b9fc922d24428507a2dc729dc08f3902bd4353e242cb603b3861ddd4ad1808da
176|23|unauthoritiveness|nicolo|03bb317c93c7a1c1ae99888c0d874053680412aa8d9750548238bf6254664b86
177|22|faciolingual|unextruded|0e191a79e025ba0e9f0cf4318e8508d424b1b7530e3f0808ea3c1626108fc8ca
178|22|embryotrophy|vertically|e90f99b98d3b9890d5f2cb9414a6cebc630195a7846e44cdc49ff19c144ecb78
179|17|float|vesicospinal|a63ecd88562cbec9bec94e9658d5fe1b5e07753e32e5ba1d2139cad16005a899
180|19|fumigate|spirillosis|84718886482708fa14b2ad272f04cd98694bf0f3ae4222c7e665833b611d74ae
181|21|bassie|hypochlorhydria|5ad69d0f2c272a4e6ea5c261c280fbaa2707ed573fe7be0fdfbe52dc286a325f
182|19|lightsomeness|apheta|cf3b0ba2ada2c6062fd1d5516e475b7ffb8085b049de871d490977325ce6ab79
183|20|pelvimetry|stereobate|846cbc44bb6d2b5a68fcabd51d5419d1d96a8ed8e0a4921b39964426f717db2c
184|16|conchitic|wainful|5d188e4549404cc868d1105649c3f9b5adff2dddffe7b3b7299621a0c087f0fe
185|15|arrope|Tuscarora|4b3ed66585a0987fb5ecbfdd55cef3f51a168c0dcd0294846aaa3d83a0e64a11
186|11|Shivaist|ami|c66102f2144403a89d34c93c923de145bd35089e2598df87f133e9152ea1b596
187|16|herbosity|venular|e1bf725009b8dd20b7853efe7b7f4fb8ee0e9a84d27f017820c12eb25fe96ce6
188|27|heterozygotic|pseudocercaria|d8853a88026b83907c15fee8d6dbb3ea786a4ca19349e539e975afa4754f3145
189|24|circovarian|enterorrhaphy|55f2f3e800c3e75fc92a626371135b47eb6a09d9a7096c0e8d4613b869fd9759
190|19|hydrodynamics|hollin|b14e2a7152985fecdd4eb9baecc57cabbf6fdcabdd6c89e20066a26e4a3b9cbb
191|16|malarkey|trophism|98e58902aa85bf13d480d10d6b56715f6642930506d519c6c449f8b03d425e26
192|20|paromphalocele|tifter|13201470837ed3d99de9624d7ca123e7203749755cd54251d4e6b440640cdf42
193|22|unsharpening|decorament|aa90ed173979528dd76f084de4d9e86938571ea8bd898e1bbe97ae3ba92c1987
194|19|discolorate|obligate|73d9c0cac5a65bfe959888a3f1e265cb6a39fe5b594ac7edbe250914a99b4528
195|21|gerontocrat|disorganic|1b203a857bc61dc7299af09139ec8c1a0cb778084bdac5229ea778b5ed9873ef
196|12|fox|nighttide|154b9029eaa63f598769d71c83666d7705ba45dcb76f8d27e5dd79596e3b1082
197|23|tonitrocirrus|fleeceable|62de41735bafceedcccc734e74ec01eecc25894fb9aa562b79990584b0bc033a
198|23|unemphatic|nervomuscular|1cb2fa8e595f74db1601ced780a9e2343caf6b5b6c5bffdf73c00b1ede443ad8
199|15|pewful|hyeniform|9147194a7433313adb7f26b5b6e3bb44180c4b2b4c2ec0f513f564109a3da9ef
200|14|tonlet|yawlsman|f662907d349f97eef5cc3d698e1513952db1d84a665b3f09e23f509481867834
201|19|unforeordained|jaunt|2648d80ff75899b843c722528cc3029e80e9109838d8daf16d5767d428885e14
202|22|coarsely|parabolicalism|7b3e2c1fa0e3a44775960b657d7ffe45592a24a49e0e55982c4688c5e49bb5ea
203|21|biomathematics|Euphues|99a54a36b1ea22e05ef09106bf915d1a915714bf258f391a6f9ebdcc67df6d9b
204|19|cryptesthetic|beeish|b747a9e5c091c90feb57431f5457b91a6c67e944b6ef31c1534b828cfd054b0d
205|13|monorail|oiler|bc2ef775b4aaa7378d4820573a15443668db79b6b3248afa4786257a6832dd7d
206|19|clitoriditis|salpoid|f580585a4ba50f5c713236786469e10da50073a01c458234c5be5124f212ac42
207|22|uncontrite|longitudinal|e796dd51fde53d6ca78cedcd9661a470f6ce064273d5f9561e8c07642441eb3c
208|12|Amabel|joyous|0b626f22caf52d418bd7dc119a433c60da84ddc2c9ba2abb5f49b1e10e8028fe
209|17|gyrous|parablastic|1686f215eeb013c48e763c5e33bd3923e3704173ec567683940f5098508091f4
210|19|metatitanate|Homoean|e93cc264e3619ff5cd74f3560b4e3baec820646fbf52c55bb0ded6222168c841
211|20|homeomorphous|electly|10ebd61bff04fa9353c6b5d086e4d1e7764e643595bf7e4b2ac058d68c2e4c23
212|17|rabbin|optionalize|441f6a76617dcc9b64fa04130ab5641154eb782609ae9383a567840811a036ea
213|17|parasitotrope|Inga|2576cd2196fcef198b965d5c197e016a45749b35513a922e8e6df818e3619006
214|15|ria|biogenetical|909ddd1b4333015f99c6a421ffded88ec41e75b80c37ab178b0c394e53143a61
215|19|improviser|Telchinic|f692dd9131e6c57fd6f7813bfc102e307426e29596b830fbce05e5240ba89e91
216|19|purpart|ornithophily|9c0fd21b03a4dc27d77b63417c8ddab330aa9277f7a7f79585e5c851aee0402c
217|22|terminine|parthenospore|e445e654f5087a736eb95dea4d99d92575d6ded9aa519e4b027d33aeadf86aa1
218|26|cholelithotripsy|mensurable|f030c7620f60cd9340dad10186d22540d1f7725281fa3ffd87283d3eb4c0789d
219|19|dessert|discarnation|cc9f0cf85d24253d504fb1de375953c3f9d488bc55d7eea42e3bc01e58205d88
220|14|stench|antivice|5c84d76152e60de3383e980d19d1b0b373c030bd4a56f7b13a6cb650a426152b
221|21|ambiency|ericeticolous|5e37738fd09e510f6464f218a0bb8443a24a3abc6f08aec8c7c9ea0a239b16e3
222|25|nonparticipation|detrition|3058cd2dab8da778316bfd693f066074f1e417453e320bd8a3e3499fe68eb99f
223|16|adenotomic|morlop|a3aa8923e05754b9ae63202019702091605f4b287e9a9932ccae77ad07548774
224|14|evittate|pedion|19854212559762ea1de15463074041fe08784492117208e959bfad950ca05a3a
225|12|sealwort|miss|f5638ac1f11556f6a7cdaae1f4f4801aa0c1b254ce8ab02981e8876a8f42b70c
226|20|synchronism|Gaelicism|a8360d96d3e966a7acaaafb0a284aa1f05c8bc9c1e57b4a22b78140297c8d24a
227|24|oospore|semiautomatically|bfb901e9466534856bdb2e6e7be8c3bec51435f657c5cf61d75b10b3e89b618f
228|24|countersuit|nonassessment|edac7fdb33334eeec1312bd2d99838ea5973df844ba7f0926f6b3915b3e02420
229|17|iciness|knappishly|f74952a33bb9ef3e72be6b8783108ffc3a8b6b4f3e4e801fac5d1236e633ef39
230|29|antialexin|orthoveratraldehyde|37b8d9c60c59ffef0c66e1466899286c7a60e3b2b1dd8de994ba70767c01ad81
231|19|superficies|Pelecani|47d9f7911e4e1ba349b34c94a0f3f95c1be6b7dcf9b9e200fa839c0ec228fac0
232|17|involuntary|roamer|59f0994c5b9f0e321ecc00fd5e31565a5ce08957b0ccf7475ca115fec3b4a377
233|22|Callorhynchidae|furnish|d8446a3bebe8097c093c25a8de11f90c2792ba20884f8c2a1e8e5de02d248c8d
234|26|viviparously|hemihypertonia|a4cfdcd19c13cc8e9a9c684ed9968ff753e6c36a8e43995f2b92cee818a74265
235|23|semipronominal|frolicful|d11fe6fc4e12bda54bb2fd51a2d7233dc89fa095013010530250a8d99e987f00
236|14|cursively|girsh|b2ee2ef303e13b44a329f67d6d5269147dd73123caf52d4f7e3a808b296bec5b
237|14|zee|noncerebral|3140639571ce6c8228579b716812b5a2df36696c763b17c00889dac16c6694c0
238|16|unsinewy|bullying|1e1a270f986023e61a6038f7d536737a3a4290d5760f92c40096239eeeeb6a3b
239|18|effetman|centistoke|a6d096f2717b5c69db9d52db5e43bb1c815fe760f641ac8d9bb9115a615afe1d
240|14|Cajun|misbestow|ff0eee6199a840cc90e096de1a2afc9075b7117e585c0d98f17e4b1c60f0a392
241|21|perforative|gastrolith|8e207fd78db68743c8e0bb13291471a52c6be8c98df04bcd58692591e186f9c1
