sequence|TLEN|data-a|data-b|validation
106|10|tract|sarna|46d683cf9de8b7bdaaa764b62f6dbe928386c986e39f264bc377a03a301d1109
107|19|Europa|semifictional|bd628e6e77b8b6df880bfa452d81c6f1fa0450c93b92c468087131a2370d98f5
108|23|pulsatance|Cathartolinum|83c47a94dec2f19cf4dcbb5a872e69e9f76c5cff7f0c7455bc0630c2c6cc8cd3
109|16|Campa|myocarditic|f406249dde92d853acca9f6c78d912c968744bda4b2b1d05d803d4890f55076c
110|21|confusional|inadhesion|2c1d671c36519e3d1b246c9a4e6b5620d5b2fa1986375ff03da6b76cbae44f97
111|14|foggy|attentive|65df0af87d4c6c4bfc576528e4108f42652bffe4faa1176bb9702c9fe11d51b6
112|9|runty|Beja|68a9deae5cc3aa0358335b3326faf8e9e3062855485852bf2c0d6c92028ab0ed
113|20|disfrequent|trimerite|de59c3e229371d00d672cbc49ec651b0c782f4b212e43363b341634c105e863d
114|14|untufted|Sterno|1b3c36d5cc8357528586d9ea5e16399016e6541883016b09db06821f3d10c287
115|17|patterist|lecythid|00b5fda8d15e7b04be380b0b5c7a07454f724db13d83d3fa8494bcab0e0f21ef
116|17|radiatics|akamatsu|16cc5e86ab2a53f002853c5662d87d03148ce259f1c7404fb3ac9aa53990c609
117|16|salvianin|fitchew|1335678137004a97092d4420f12befc9dbb91ef40ec771716a5c6d0ab4281997
118|21|sarmentiferous|scummed|b73be13305a2c0fefb17b1beb8be7162dbb6f3326dd0956da2ea27646c08cb08
119|19|chorism|pyloroptosis|ca8df0ce22ada8c02abf939076ca24d034beb640a17ae29d6c09efca70443432
120|15|carr|profanation|663ff6af0ff30dd0422f8a57bace0b38f2b7aab2c9361662cc59741a104c812f
121|15|trackwork|vespid|725f76162579945396c729dd3c2d69506e8ef86d890a8cbaaf44504db9a3f4e7
122|17|scase|inexpedience|9ef1af4854782658bafab27bb7f13bd672923921c3b180ddb5d05415e2f3b20e
123|19|mantispid|rewithdraw|53886f8830368e2b7ad1ea6de7943c617a9352d0031aafedf30fa09022624b02
124|26|loganberry|ferrihydrocyanic|48414bc34b812cbb984964925b09d56facebe8f885095cf61bd9fcbcaa315b8c
125|16|Daedalidae|subtle|0ee7ceae61be26f0aec92b05f378b40aab0f06534b82c2b4a374747c4efef8bb
126|15|enclasp|gibbsite|c09819182f58b48ebc48372f81c472570d1a646228009d3f326ba9d6f936587a
127|15|fremdness|metate|32a51fe48cde54020132eb663b921263532d80eab3b31411b7d0bc6bdcb93e0b
128|19|waymaker|mistakingly|905eaac5c9a693947a0b0689a598e15a9f08dd2f665d58e9cac2956f8caa0c2d
129|17|matzoth|fustanella|1281842d821e16122105d5b032f255362e4ea4fc82d233fc880b5dabadf9055f
130|13|songish|samadh|2ab3e0cea3f5f1e11b3258f819ef8753baa00f63dcc4ff39038090b65cb47e38
131|11|divus|glumal|43fc6c31dfea346527b2810ec3b27e33b201093f29e6e95d4c354a363d276241
132|23|tailpin|sulphatocarbonic|fa36c45800e39800d149e9ba3bc1b60dabb90883820af27ed6cd6aab616a8616
133|16|Borderside|anepia|56ca997e2e6cdde8013aa72f2171e34dd9d1af2470bfa39bd5b9ece04d12c701
134|24|thecaspored|pulmotracheal|4f1ef9a2398d0a767e412d76900db5f6fb6c7ad5135aae920ee21f2abb7dcb16
135|28|illustratory|nonprepositional|28073fa32fc13cce9f803a6492f5e4aeca0432320b075feb49c2158dbcd61513
136|22|parahydrogen|hellanodic|01f1f2fffaf9044f5c043c4d418db56fe150a34a6fa3c9c2d505e176d4de90c5
137|27|ingrammaticism|larviposition|9b3baabd06e61493fe36984bab93894a7970f8ff84625441d7728c30338fe913
138|14|baffler|aeneous|b66cb3e11d1b0aee5454160af3b36405f65b5d7495462de3517fced6b7505fd2
139|20|petticoatery|abelmosk|a2beb296f1f82becb9854eaa7cef72b192a923629b10532203a498beceb4ced0
140|16|bluism|trichogyne|78d0d48752f283ce2b5ae2430400202c93becc808a55d72d4aa00a27634d1bcb
141|21|thunderously|perirenal|3c219b2ce2aa7920e9804b289c6a4f182a45100f81a9ddd4c0a571711fbb8af6
142|18|queenroot|everwhich|39a6d461e75ce2f056c20233b668550119ecca5178557cda84c9e6ab761e7ae1
143|13|pew|unweakened|ce08a2816f3653bdc24f42fe30e410fffb8fca374d73a607e529b8804012ed5f
144|21|inotropic|slatternness|02e0ac600ea2efe5d8edc9e2301519e6943388cd71fe7e56783eae7d767e8af6
145|21|disassemble|baculiform|665f42e98ebab72ff9b35af246d240acf0eef69a9d3a62d303eb3ad31dca13eb
146|19|geebong|disintricate|c5db32a72cdb430397fa197122351290790ab1e558b9fddfa23d0eef8028c99f
147|22|reascensional|demiracle|3ae09d4ec1a780188d895e739127da2c5129c7619bfbf8ee1fd9573d750f1e53
148|18|hygeistic|bimetalic|141e90a40ca5d0380a89eab0e936e89f678708632ed38606949553851c317541
149|19|bolsterwork|horribly|ee8407501e9da1e8f23b7a3af4562eeaeaf355dbf91d559be16d2e3423cd399f
150|21|unamassed|ventriculose|22a19eb17ae934e9f76bd1f8900da8b8b920f833b35bdc65837f49ef09ced5e5
151|23|jaculative|faithlessness|d12d148cdd53ce5e1d926b7fe4418923d518fb853f10a706078f4f69439ad429
152|16|conversely|booker|4d6a4c169f7745ce8f27586fe7c400abf69a3ce605b155af83f74cfe20747a52
153|21|imprecatorily|zoopathy|7e063d77d4f19c3df177efe9f1cbacf3bea0d318b37cb052998c5647de8fab8c
154|19|stallage|expenthesis|c25f7da19d32584000038f85da04b4821af41f2e2f56195379ba7d79dceacc60
155|19|choliamb|stateswoman|845810e5c015358a4daf89b6b259c44b4fcd6ebc907302b68fcfcf8f80ca170a
156|24|soixantine|incoherentific|541aff9c2d78502ff9f20ebeda517620582735fba2e7e901b4687d10e34095c1
157|23|seneschalty|reinfectious|bdc1a505fa0ff0e437cf5264e1f58b28bbd54fed921e0aacfa3623b2cfc1f598
158|19|stereostatics|higgle|3aa9c14b68fb4e425f5c55934cd487c4801fe99f3a30058ee81fa348a5f06499
159|21|hemapoietic|canthotomy|c43a1d65d9fdeb73c3a1cbbf9d65c776160545518351b439bf674df3c3dd701f
160|16|peltigerine|canel|615cd17c1f128713dcf9c360932ff360ae0a8b54509e7551ef5c17cf2f093db4
161|18|womanfully|thematic|f91c5f7db1af7c4c9a39e45bae235d2b86c6b772b103d87b0a1cecb7491cc010
162|25|penitentiaryship|archelogy|cc609327c6f27c9ae5bb01dd531a0d4419812c4e9f46f7266e4474736754ef41
163|22|eudaimonism|irrecusably|e74cd92012e505a99469261ffcbd7379cee904f7a3a2b0e24a896d63a16518cc
164|19|vesselful|isothujone|13296d3312ac1b9c54fab3b94cdce7906d828aa844c728fc20de4f4ddc07f366
165|24|contraremonstrant|uptrail|507ebd0973fe9e6bf7401e87ce1be9eb99b636b4caf48e3222989ff6db176080
166|16|utriculoid|catchy|569f04b88d9fd5eb1bab9240b1111544711cb50a3d02ccbd8104cc00dad14478
167|19|synaptene|nonvaginal|73d1ecda024fd0f16709ba97d1d48f7bd5c96cb53bd837e0826453fa6107676a
168|23|ungrappled|planetologist|7972b9d1f68f15d46f5748f56881786ad405ec4d044c964c83d3db97135e185d
169|14|Lucan|gorillian|2cc435d2ea75cb719d456787349793ae5561c49c10f83647d4fca454fa2822e8
170|18|ladyhood|diabolical|0ab20bc8c8330b12aeea9d177693df823bcadc035db2f4ed0137fa2ae3631cf9
171|17|smackee|halmalille|f013e73eeac91a91993ec03199876cf9245186cd22efe5779f2c8c828ae5a208
172|21|unbudging|irritomotile|f4a5520c527ae737f0236f8dda790a14c21b703169634e292b6be39af267746e
173|15|tangibile|peroxy|77090e66dc9f45ff8cded2f4bae5a263b46d9961bfa6d4e61d4f05547468bda0
174|24|unfertilized|ichthyolitic|b518b0b4491cedca8a77cc631a7c3a68081aaf309b7319efb9dd1755214df99a
175|18|darac|irritableness|9b134c284f847a82d1080aca0d4667b24d5d63247b1362a0f7241e335008da03
176|21|spattlehoe|biparasitic|fcb27a6fe2f3979e216ce0bd1c4e3e20475f7c6478f2eccac1b40752c02ee14a
177|28|perodactylus|physiopsychology|c1f0ef355b2c4ce3a99f66eb215972f98c5d54779f3fd1ccca57eb5608bf3150
178|23|shackatory|proconformity|d9bc0cf2ccbe441829535ef92e614372b5e5c761cc55a700fa45599aff5d17b4
179|21|prickfoot|gametophagia|3bea533cb78bd0a2e3a454e9fa58a163adafa02e15c6f9c0e157e7b27092e9ca
180|18|neurility|gypsyhood|640643c25c65f5b0a67b898546cf77335bfd44ef38d51e5686517ef80a481510
181|16|liverwort|kinship|5c7ea260897e9a496f8bf8e51d147f3e8d3cab00d8e68c826833750aec8ec22e
182|16|stormily|Dagbamba|cbfd4141ba7871f68bcb244b1ed0bbdb37618a77e3cb09c8a9eb5d20e6812400
183|16|pulegone|oxyfatty|b02a828783d596b203d5432adf56e3882791e92c71c7c0ce36d3147def1cfff6
184|18|mastigure|dilatator|8dcfaa23e3edb6da421d362454871c69c3305eb5f1ee68bfaa5c8f4e9d6a5430
185|23|bibliothetic|colophonite|25ccb17a2d6dbb86713ab2f1eb013a28f6e1f77be6c77744d4f936c6abc7f546
186|20|hymnologically|lockup|d57537d071a43bb99f6b24963b70062900889c896d92e5eba4b9dd4db85e2078
187|26|microrheometrical|jokesmith|a7d3b4abce05cc5e6f534813c2d2fea8ff25786212d0feb838457115fd7896fc
188|16|peridial|bursitis|16fb684080fa19984056aeaa1519b6cdfe3b9bbbb6f3a0431d5832244825c18e
189|20|miasmology|Aberdonian|4ef86f89215d16e5d55a8ab25e1b866165a40ac238d2197ff504492e219be22e
190|19|semicylindric|repine|a8aa12db88ebd900b41473ceb32b63c26ecf41b73a64847c52bbdaef0475193b
191|17|overward|Petalodus|59df914e334901b8bdf8664e972c3dd6d435c7e046a15ee3cba3e0dbe6feee66
192|15|crunch|Thersites|4c7f7bb1ebc347bbc6307099e4196e4203dc46eb36c89b4f31fc6c965efb2f8f
193|19|periapical|fretfully|acd661f7663ab17b2ca22454a01c0e81aaf6a74096f754c84c700fc593300c7c
194|16|Rappite|scazontic|304a31c46a0e2963a978ba98a85b3a896c03bc3ef2d8e2659732684bbb855c2b
195|25|contradictable|scratchback|d19264c77308764e674e5a370d761d285963684902186bd35c7b16c3aeb3e89a
196|16|overnew|unisexual|98b93d72c6a864702ded32c89222ed5cfe5690909ce08133a4e701de25375d92
197|26|numerableness|sulfofication|715a03481ea8b7f9f9725cb2433e813d9e983d615fe9798515ddae48cf9b1277
198|21|ovariole|anaphylactoid|79c1a6388749f684c20252cbbe4bb4f9ffdb18afc1cfe7143b5f0977b0ec380c
199|15|domnei|sulfazide|977a6a50fa9d7a32536fbace08079bdf1957196cf62576ef27e30a6dc9046a01
200|15|snaky|unremanded|9fba0faefdcc4ceccf3d2ebda9decaaf9c3a56ee03f541da7241888f370ac6e6
201|18|epipharynx|apronful|538dad1ee0e764a647c1530f5ba7a7a009f84e409bce02fd9886bb27c3720a26
202|18|blasty|imminentness|843c50f45c9399a547000f7764f899b408e73f09961be19d8b765db3638311c1
203|22|pentylene|lecherousness|e208352b86e15588da3f223e4c094718288b08b9356f4544411a74696d6a255a
204|19|imbreviate|pleasance|568de888617b66c43271f40a6f6fc5b2be90b9b16e698b25b6a17f26555459bf
205|20|aminoacidemia|becomes|4d67b04a06014015010985ffe29e88e3e1e50a49ad6b644499cc6d228294f711
206|16|Algebar|nymphical|29975fdf73bc5317e3a946388ef082751f6f6209b5b1bc032c6b8063cc26a334
207|24|noninflammability|delight|de21734f388d4c2acbc55b3598b9344e140ee244b998658984993f92cb1fc1e6
208|21|ninebark|unfeasibility|30e0df48779fd60fdeaba33aa645f7890ab050a19b26b7b1276c0270dd853b2d
209|24|Monotheletian|gnosticizer|1427b472e9cc4201ad916b84406968be9587a7e6c29f15a63971e1b31e841200
210|22|impugnability|unbeknown|b6e4a255ab32be840470ef3d94917b902f6bc37768da4e1d20f669943cd6ef1a
211|13|grith|portiere|9647016f478b35961dc44e43043e4488cb19e78c77f930df74afaeefa22a43f7
212|14|pearmonger|hoot|51d995bd2a5a4cad70739be8395b3e1e1d54612277091a650fd6ab0b0dad78e9
213|21|disseize|physiopsychic|4f2a72dca9753da0f653857723f09bd506287ebb1e0287b4886c6e49d26bf10d
214|22|Pindarism|phlogogenetic|288ebd4b374d7d6d48b09ec44e0277d9d1d6cefb0d33635abb2a7100049d120f
215|20|scenewright|copartner|20e71e3415d1328481e033b28718a410ed0231ad3e4252c0e9b4ae914f04ade2
216|25|semirotatory|tetradecanoic|5ca66674c9ed7b1528b0f5593a03f0613f5f49351b956be7c169ac026bacf752
217|23|tachylytic|cupressineous|4eff482b7d001b6290cd0bce1bc3cd8e3e282126572f7ffee009ea07f294a881
218|19|stigmatoid|blankness|2973c6abc5ec57c8e4ef006025f35ad80773f6c0bad099e8cdbc8f7e9d6e7289
219|21|Riparii|corticipetally|ef11064fa8c438aa015f426add786079097954e7994ec0d1c2e8f1e936a2109c
220|22|subluxation|praecordial|31b3eb581c00d02662b26fb9f4387f449de5675f7ab70fb74b1a8eefa727691a
221|21|uninaugurated|Gaussian|dc8546f33001017b4f886335c1be8572a8b3a311045d96c3c16b32b4d9f483e6
222|25|multimotored|comprehension|12f1e7c56a416e9980374a4272bf8b6e9897a38fe647c0d4d683c52b9a23217d
223|22|Anabaptistic|predazzite|6e8c79828000ba977a34067f68b49c29e2842821c0416a042a125f56957af150
224|17|pulchritude|tenuis|150f247ea9ffc4bbab5575a2f26bb80519084b2e5564e8750c2363b4e0fbd700
225|23|philosophister|patchleaf|9f5387f553d3d23660fe86756aaacd6b2125d1af95748425149cd4dc2a93833f
226|20|usheress|somnambulize|14ff40195e89c5e6aab05bc19665ca71371aca4979c82870170cddc61a61925d
227|21|koninckite|syncerebral|a7bcf16626fecc17c6f482c9bc56b399e20cf5fae35bdb836dac9058fe566561
228|23|suaviloquence|turbanwise|3674ac8ccadc8f6abad9b6ba2a12cd59d0a1015fb0a3426832a6d7ea0f26775c
229|14|overmark|amania|a90d0c695468cfb8b98b16649d6b688cbac1edd49092ef0977b609a0c2bf3913
230|15|pendulous|festal|f5e523f9bfee0d8e68cc74e8911288d232cee70d76c6442367a90696aefa61d7
231|24|statedly|anatomicomedical|92e0492853b62a3fef609aa3a055f1dc1750cf5d75cf4bd461a26f11e5389014
232|27|transversocubital|Eriocaulon|574ceea5cadbc1db3d0cfe221cbe3527187a2635f7b5a8045358a86012b98727
233|19|ontologic|outthunder|19137cf1683fe048efcdea11cbb21295ac4f65d97e01a81d5d575e0080478b97
234|17|interpolater|shorn|6efddc88e9427ccbe05e24284bb6c4f1ae66855f98ac22c4c8582213e13bd163
235|22|rounce|dunderheadedness|cb40de055498082cd91c77bd5ea70adbbdff7e2a88a1aadee44a13fd13e6e092
236|22|omnicredulous|procreate|6057fcefbdb9a5f283c543885dd175915237812ffcc465854e5cc8c74c1ad0cf
237|20|pieceless|spermotheca|77072d21433c38497319c5163c996ba067fce20a425ade209fb685013d4d8775
238|18|transpiration|cloop|eebe2ce2565137426b54825052b8c225b3d276971c0491b920699b3fe1380141
239|27|unconditionated|followership|42190baa742d381624a2edfa1c31369a2677878855b2b80076d7184e42b42a18
240|15|meeter|murderish|2117509476e83eefffc06d6af6cb8bc1c52dc7370b39810c42549ef6d95c961a
241|16|boxbush|learnedly|24ca66a26556a3fa3193587979a1c659c236f3ac4f056efa99633fae89f9afb2
242|18|triclinium|Topinish|320525b87eac672432a5963494f791a520730e147c28cbdaeb246afe06ccb015
243|18|azoch|philematology|52b4a0b6b13edfc185f0680e543933bd3a5e5d81b5918d442099aae995166f7f
